row_id,person,referent,relation,rel
0,Colley Cibber,Alexander Pope,Attacked,-2
1,Colley Cibber,Alexander Pope,Attacked,-2
2,Colley Cibber,John Dennis,Akin to,1
3,Colley Cibber,Lewis Theobald,Akin to,1
4,Colley Cibber,Stephen Duck,Akin to,1
5,Colley Cibber,Laurence Eusden,Akin to,1
6,Colley Cibber,Dulness,Akin to,1
7,Colley Cibber,George Etherege,Akin to,1
8,Colley Cibber,Robert Walpole,Akin to,1
9,Colley Cibber,John Ozell,Akin to,1
10,Colley Cibber,John Ozell,Akin to,1
11,Colley Cibber,Lewis Theobald,Akin to,1
12,Colley Cibber,Dulness,Akin to,1
13,Colley Cibber,George II,Akin to,1
14,Colley Cibber,George II,Akin to,1
15,Colley Cibber,Thomas Archer,Akin to,1
16,Colley Cibber,George I,Akin to,1
17,Colley Cibber,George II,Akin to,1
18,Colley Cibber,Laurence Eusden,Akin to,1
19,Colley Cibber,Dulness,Akin to,1
20,Colley Cibber,Laurence Eusden,Akin to,1
21,Colley Cibber,Alexander Pope,Attacked,-2
22,Colley Cibber,Martinus Scriblerus,Akin to,1
23,Colley Cibber,John Banks,Akin to,1
24,Colley Cibber,William Broome,Akin to,1
25,Colley Cibber,Elkanah Settle,Akin to,1
26,Colley Cibber,Camillo Querno,Akin to,1
27,Colley Cibber,Richard Bentley,Akin to,1
28,Colley Cibber,Caius Gabriel Cibber,Akin to,1
29,Colley Cibber,Alexander Pope,Akin to,1
30,Colley Cibber,Lewis Theobald,Akin to,1
31,Colley Cibber,Camillo Querno,Akin to,1
32,Colley Cibber,Francis Atterbury,Dissimilar,-1
33,Colley Cibber,Isaac Newton,Dissimilar,-1
34,Colley Cibber,Issac Barrow,Dissimilar,-1
35,Colley Cibber,John Dryden,Dissimilar,-1
36,Colley Cibber,John Garth,Dissimilar,-1
37,Colley Cibber,John Locke,Dissimilar,-1
38,Colley Cibber,Joseph Addison,Dissimilar,-1
39,Colley Cibber,William Congreve,Dissimilar,-1
40,Colley Cibber,Edmund Curll,Akin to,1
41,Colley Cibber,Dulness,Akin to,1
42,Colley Cibber,Dulness,Akin to,1
43,Colley Cibber,Dulness,Akin to,1
44,Colley Cibber,Dulness,Akin to,1
45,Colley Cibber,Dulness,Akin to,1
46,Colley Cibber,Caius Gabriel Cibber,Akin to,1
47,Colley Cibber,Cardell Goodman,Akin to,1
48,Colley Cibber,Barton Booth,Akin to,1
49,Colley Cibber,Elkanah Settle,Akin to,1
50,Colley Cibber,Dulness,Akin to,1
51,Colley Cibber,Charles Fleetwood,Akin to,1
52,Colley Cibber,Henry Janssen,Akin to,1
53,Colley Cibber,Elkanah Settle,Akin to,1
54,Colley Cibber,Philip Dormer Stanhope,Attacked,-2
55,Colley Cibber,Martinus Scriblerus,Akin to,1
56,Colley Cibber,Philip Dormer Stanhope,Akin to,1
57,Colley Cibber,John Fletcher,Akin to,1
58,Colley Cibber,Richard Bentley,Akin to,1
59,Colley Cibber,Alexander Pope,Attacked,-2
60,Colley Cibber,Thomas Cooke,Akin to,1
61,Colley Cibber,Edmund Curll,Akin to,1
62,Colley Cibber,Alexander Pope,Attacked,-2
63,Colley Cibber,Alexander Pope,Attacked,-2
64,Colley Cibber,Alexander Pope,Attacked,-2
65,Colley Cibber,Lord Bishop of London,Akin to,1
66,Colley Cibber,William Temple,Akin to,1
67,Colley Cibber,Robert Walpole,Akin to,1
68,Colley Cibber,John Dryden,Attacked,-2
