person_id,referent_id,relation_id,n,dot
COLLEY_CIBBER,ALEXANDER_POPE,akin_to,1,COLLEY_CIBBER -> ALEXANDER_POPE [color=green weight=1]
COLLEY_CIBBER,ALEXANDER_POPE,attacked,9,COLLEY_CIBBER -> ALEXANDER_POPE [color=red weight=81]
COLLEY_CIBBER,BARTON_BOOTH,akin_to,1,COLLEY_CIBBER -> BARTON_BOOTH [color=green weight=1]
COLLEY_CIBBER,CAIUS_GABRIEL_CIBBER,akin_to,2,COLLEY_CIBBER -> CAIUS_GABRIEL_CIBBER [color=green weight=4]
COLLEY_CIBBER,CAMILLO_QUERNO,akin_to,2,COLLEY_CIBBER -> CAMILLO_QUERNO [color=green weight=4]
COLLEY_CIBBER,CARDELL_GOODMAN,akin_to,1,COLLEY_CIBBER -> CARDELL_GOODMAN [color=green weight=1]
COLLEY_CIBBER,CHARLES_FLEETWOOD,akin_to,1,COLLEY_CIBBER -> CHARLES_FLEETWOOD [color=green weight=1]
COLLEY_CIBBER,DULNESS,akin_to,9,COLLEY_CIBBER -> DULNESS [color=green weight=81]
COLLEY_CIBBER,EDMUND_CURLL,akin_to,2,COLLEY_CIBBER -> EDMUND_CURLL [color=green weight=4]
COLLEY_CIBBER,ELKANAH_SETTLE,akin_to,3,COLLEY_CIBBER -> ELKANAH_SETTLE [color=green weight=9]
COLLEY_CIBBER,FRANCIS_ATTERBURY,dissimilar,1,COLLEY_CIBBER -> FRANCIS_ATTERBURY [color=orange weight=1]
COLLEY_CIBBER,GEORGE_ETHEREGE,akin_to,1,COLLEY_CIBBER -> GEORGE_ETHEREGE [color=green weight=1]
COLLEY_CIBBER,GEORGE_I,akin_to,1,COLLEY_CIBBER -> GEORGE_I [color=green weight=1]
COLLEY_CIBBER,GEORGE_II,akin_to,3,COLLEY_CIBBER -> GEORGE_II [color=green weight=9]
COLLEY_CIBBER,HENRY_JANSSEN,akin_to,1,COLLEY_CIBBER -> HENRY_JANSSEN [color=green weight=1]
COLLEY_CIBBER,ISAAC_NEWTON,dissimilar,1,COLLEY_CIBBER -> ISAAC_NEWTON [color=orange weight=1]
COLLEY_CIBBER,ISSAC_BARROW,dissimilar,1,COLLEY_CIBBER -> ISSAC_BARROW [color=orange weight=1]
COLLEY_CIBBER,JOHN_BANKS,akin_to,1,COLLEY_CIBBER -> JOHN_BANKS [color=green weight=1]
COLLEY_CIBBER,JOHN_DENNIS,akin_to,2,COLLEY_CIBBER -> JOHN_DENNIS [color=green weight=4]
COLLEY_CIBBER,JOHN_DRYDEN,attacked,1,COLLEY_CIBBER -> JOHN_DRYDEN [color=red weight=1]
COLLEY_CIBBER,JOHN_DRYDEN,dissimilar,1,COLLEY_CIBBER -> JOHN_DRYDEN [color=orange weight=1]
COLLEY_CIBBER,JOHN_FLETCHER,akin_to,1,COLLEY_CIBBER -> JOHN_FLETCHER [color=green weight=1]
COLLEY_CIBBER,JOHN_GARTH,dissimilar,1,COLLEY_CIBBER -> JOHN_GARTH [color=orange weight=1]
COLLEY_CIBBER,JOHN_HERVEY,akin_to,1,COLLEY_CIBBER -> JOHN_HERVEY [color=green weight=1]
COLLEY_CIBBER,JOHN_LOCKE,dissimilar,1,COLLEY_CIBBER -> JOHN_LOCKE [color=orange weight=1]
COLLEY_CIBBER,JOHN_OZELL,akin_to,2,COLLEY_CIBBER -> JOHN_OZELL [color=green weight=4]
COLLEY_CIBBER,JOSEPH_ADDISON,dissimilar,1,COLLEY_CIBBER -> JOSEPH_ADDISON [color=orange weight=1]
COLLEY_CIBBER,LAURENCE_EUSDEN,akin_to,3,COLLEY_CIBBER -> LAURENCE_EUSDEN [color=green weight=9]
COLLEY_CIBBER,LEWIS_THEOBALD,akin_to,3,COLLEY_CIBBER -> LEWIS_THEOBALD [color=green weight=9]
COLLEY_CIBBER,LORD_BISHOP_OF_LONDON,akin_to,1,COLLEY_CIBBER -> LORD_BISHOP_OF_LONDON [color=green weight=1]
COLLEY_CIBBER,MARTINUS_SCRIBLERUS,akin_to,2,COLLEY_CIBBER -> MARTINUS_SCRIBLERUS [color=green weight=4]
COLLEY_CIBBER,MATTHEW_PRIOR,attacked,1,COLLEY_CIBBER -> MATTHEW_PRIOR [color=red weight=1]
COLLEY_CIBBER,PHILIP_DORMER_STANHOPE,akin_to,1,COLLEY_CIBBER -> PHILIP_DORMER_STANHOPE [color=green weight=1]
COLLEY_CIBBER,PHILIP_DORMER_STANHOPE,attacked,1,COLLEY_CIBBER -> PHILIP_DORMER_STANHOPE [color=red weight=1]
COLLEY_CIBBER,RICHARD_BENTLEY,akin_to,2,COLLEY_CIBBER -> RICHARD_BENTLEY [color=green weight=4]
COLLEY_CIBBER,ROBERT_WALPOLE,akin_to,2,COLLEY_CIBBER -> ROBERT_WALPOLE [color=green weight=4]
COLLEY_CIBBER,STEPHEN_DUCK,akin_to,1,COLLEY_CIBBER -> STEPHEN_DUCK [color=green weight=1]
COLLEY_CIBBER,THOMAS_ARCHER,akin_to,1,COLLEY_CIBBER -> THOMAS_ARCHER [color=green weight=1]
COLLEY_CIBBER,THOMAS_COOKE,akin_to,1,COLLEY_CIBBER -> THOMAS_COOKE [color=green weight=1]
COLLEY_CIBBER,WILLIAM_BROOME,akin_to,1,COLLEY_CIBBER -> WILLIAM_BROOME [color=green weight=1]
COLLEY_CIBBER,WILLIAM_CONGREVE,dissimilar,1,COLLEY_CIBBER -> WILLIAM_CONGREVE [color=orange weight=1]
COLLEY_CIBBER,WILLIAM_TEMPLE,akin_to,1,COLLEY_CIBBER -> WILLIAM_TEMPLE [color=green weight=1]
EDMUND_CURLL,ABEL_EVANS,dissimilar,1,EDMUND_CURLL -> ABEL_EVANS [color=orange weight=1]
EDMUND_CURLL,ABEL_ROPER,akin_to,3,EDMUND_CURLL -> ABEL_ROPER [color=green weight=9]
EDMUND_CURLL,ALEXANDER_POPE,attacked,11,EDMUND_CURLL -> ALEXANDER_POPE [color=red weight=121]
EDMUND_CURLL,ALEXANDER_POPE,dissimilar,1,EDMUND_CURLL -> ALEXANDER_POPE [color=orange weight=1]
EDMUND_CURLL,AMBROSE_PHILLIPS,akin_to,1,EDMUND_CURLL -> AMBROSE_PHILLIPS [color=green weight=1]
EDMUND_CURLL,BERNARD_LINTOT,akin_to,5,EDMUND_CURLL -> BERNARD_LINTOT [color=green weight=25]
EDMUND_CURLL,BESALEEL_MORRIS,akin_to,3,EDMUND_CURLL -> BESALEEL_MORRIS [color=green weight=9]
EDMUND_CURLL,CHARLES_GILDON,akin_to,1,EDMUND_CURLL -> CHARLES_GILDON [color=green weight=1]
EDMUND_CURLL,CLOACINA,akin_to,1,EDMUND_CURLL -> CLOACINA [color=green weight=1]
EDMUND_CURLL,COLLEY_CIBBER,akin_to,1,EDMUND_CURLL -> COLLEY_CIBBER [color=green weight=1]
EDMUND_CURLL,COLLEY_CIBBER,dissimilar,1,EDMUND_CURLL -> COLLEY_CIBBER [color=orange weight=1]
EDMUND_CURLL,DANIEL_DEFOE,akin_to,1,EDMUND_CURLL -> DANIEL_DEFOE [color=green weight=1]
EDMUND_CURLL,EDWARD_WARD,akin_to,1,EDMUND_CURLL -> EDWARD_WARD [color=green weight=1]
EDMUND_CURLL,EDWARD_WARD,defended,1,EDMUND_CURLL -> EDWARD_WARD [color=blue weight=1]
EDMUND_CURLL,EDWARD_YOUNG,dissimilar,1,EDMUND_CURLL -> EDWARD_YOUNG [color=orange weight=1]
EDMUND_CURLL,ELIZABETH_THOMAS,akin_to,3,EDMUND_CURLL -> ELIZABETH_THOMAS [color=green weight=9]
EDMUND_CURLL,ELIZA_HAYWOOD,akin_to,2,EDMUND_CURLL -> ELIZA_HAYWOOD [color=green weight=4]
EDMUND_CURLL,GEORGE_DUCKETT,akin_to,1,EDMUND_CURLL -> GEORGE_DUCKETT [color=green weight=1]
