Character,Address,Reference,Person referred to,Relation ,AKA,Who’s Who
"Cibber, Colley",Advertisement to the Reader,“a more considerable Hero”,,,Colley Cibber,"Actor, theater manager, author, Poet Laureate (1730-1757)"
,,,,,C.C.,
"Cibber, Colley",Testimonies,"Hervey compares Pope to Dryden and Prior in A Letter to Mr. Cibber, 1742",John Hervey,Akin to,Hero of the Poem,
,,,,,A more considerable Hero,
"Cibber, Colley",Testimonies,,John Dryden,Attacked,Dunce the Second,
"Cibber, Colley",Testimonies,,Matthew Prior,Attacked,Bays,
"Cibber, Colley",Testimonies,Cibber on the Dunciad,Alexander Pope,Attacked,King Log,
"Cibber, Colley",Testimonies,Pope compares Cibber to Dennis,John Dennis,Akin to,Querno,
,,,,,Imp of Fame,
"Cibber, Colley",Note to Testimonies,Cibber’s Letter to Mr. Pope,Alexander Pope,Attacked,Son (of Dulness),
,,,,,Laureate,
"Cibber, Colley",Testimonies ,Cibber thinks that Pope’s anger at hearing a friend’s play abused proves Pope’s authorship in Three Hours after Marriage,Alexander Pope,Attacked,Antichrist of Wit,
,,,,,Bedlam’s Prophet,
,,,,,The Annointed,
"Cibber, Colley",Testimonies,Cibber’s parable about the “true mother of the child”,,,Industrious Bug,
,,,,,Monarch,
"Cibber, Colley",Note to Testimonies,Cibber’s Letter to Mr. P.,Alexander Pope,Attacked,King Cibber,
"Cibber, Colley",Martinus Scriblerus of the Poem,"Cibber, the Hero of the Poem",,,King Colley,
,,,,,Coll,
"Cibber, Colley",Martinus Scriblerus of the Poem,Cibber calls dunces “silly flies”,,,Midas,
"Cibber, Colley",Note to MSP,Cibber’s Letter to Mr. P.,Alexander Pope,Attacked,Lord Chancellor of Plays,
,,,,,,
"Cibber, Colley",Ricardus Aristarchus of the Hero of the Poem,Analogy between heroic Virtue and heroic Dulness as attributes of an epic hero,,,,
,,,,,,
,,,,,,
,,,,,,
"Cibber, Colley",Note to RAH,Dedication to The Life of C.C.,,,,
,,,,,,
"Cibber, Colley",Note to RAH,"Cibber’s Letter to Mr. P., p. 46, 31, 8",Alexander Pope,Attacked,,
,,,,,,
"Cibber, Colley",Ricardus Aristarchus of the hero of the poem,Cibber as “Imp of Fame”,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"Cibber, Colley",Ricardus Aristarchus of the hero of the poem,"Cibber compared to Alexander the Great, Carles XII of Sweden, Henry IV of France, Brutus, Sir Robert Walpole, Socrates, Horace, Montaigne, Sir William Temple, two Lord Chancellors and the Lord Bishop of London",Robert Walpole,Akin to,,
,,,,,,
,,,,,,
"Cibber, Colley",Ricardus Aristarchus of the hero of the poem,,William Temple,Akin to,,
"Cibber, Colley",Ricardus Aristarchus of the hero of the poem,,Lord Bishop of London,Akin to,,
"Cibber, Colley",Note to Appendix I,"Curl, Cook, Cibber (Letter to Mr. Pope) attacked our author",Edmund Curl,Akin to,,
,,,,,,
"Cibber, Colley",Note to Appendix I,,Thomas Cooke,Akin to,,
,,,,,,
"Cibber, Colley",Note to Appendix I,,Alexander Pope,Attacked,,
"Cibber, Colley",Appendix II List of abusers,A Letter from Mr. Cibber to Mr. Pope,Alexander Pope,Attacked,,
,,,,,,
