Character,Address,,Reference,Person referred to,Relation,AKA,Who’s Who
Edmund Curll,,Note to Testimonies,"Ref. to Dunciad  Dissected, Farmer P. and his son, Female Dunciad, all published by E. Curll",,,,
"Curll, Edmund",,Note to Testimonies,Curl about Gildon as author of a libel against Pope in 1st ed. of Key to the Dunciad; in Curliad asserts it was writ by Dennis,Charles Gildon,Akin to,Curl,Bookseller
,,,,,,Author of Dunciad Dissected,
"Curll, Edmund",,Note to Testimonies,,John Dennis,Akin to,The miscreant,
"Curll, Edmund",,Note to Testimonies,"Curll as printer of Blackmore’s Essays, containing observations on Pope’s translation of Iliad",Richard Blackmore,Akin to,Cloacina’s servant,
,,,,,,Cloacina’s Votary,
"Curll, Edmund",,Note to Testimonies,,Alexander Pope,Attacked,,
"Curll, Edmund",,Testimonies,Author of the Dunciad dissected about Wycherley introducing Pope to “the greatest Peers and brightest Wits then living”,William Wycherley,Defended,,
,,,,,,,
"Curll, Edmund",,Testimonies,"Pope sends Addison a private rebuke, made public by Curll",Alexander Pope,Attacked,,
,,,,,,,
"Curll, Edmund",,Testimonies,,Joseph Addison,Defended,,
"Curll, Edmund",,Testimonies,Curll “boldly supplies and imperfect verse with Kings and Princesses” by Lewis Theobald,Lewis Theobald,Attacked,,
"Curll, Edmund",,Note to Testimonies,"Key to the Dunciad, 3rd ed, Curll’s reference to Theobald",Lewis Theobald,Attacked,,
,,,,,,,
"Curll, Edmund",,"I, 39-40","Hence Miscellanies spring, the weekly boast",Bernard Lintot,Akin to,,
,,,"Of Curl’s chaste press, and Lintot’s rubric post...",,,,
"Curll, Edmund",,"I, Note to 40","Curl and Lintot, two booksellers; Curll fined by the Court of King’s Bench for publishing obscene books; Lintot advertised his new books with titles in red letters",Bernard Lintot,Akin to,,
"Curll, Edmund",,"I, Note to 50",Curl attacks Pope for citing from Scripture; note by Curl and Theobald,Alexander Pope,Attacked,,
"Curll, Edmund",,"I, Note to 50",,Lewis Theobald,Akin to,,
"Curll, Edmund",,"I, Note to 106","Dennis tells the emetic episode; see A full and true account of a horrid and barbarous revenge, in poison, on the body of Edmund Curl (1716)",John Dennis,Akin to,,
"Curll, Edmund",,,,Alexander Pope,Attacked,,
"Curll, Edmund",,"II, 3-4","Or that where on her Curls the Public pours,",,,,
,,,"All-bounteous, fragrant Grains and Golden show’rs...",,,,
"Curll, Edmund",,"II, Note to 3","Curll pilloried; about being tossed in a rug, in Curliad",,,,
,,,,,,,
,,"II, Note to 50","Curll ids the Phantom to be James-Moore Smith, in his Key to the Dunciad",James-Moore Smith,Akin to,,
"Curll, Edmund",,"II, 57-60","Fear held them mute. Alone, untaught to fear,",,,,
,,,Stood dauntless Curl; ‘Behold that rival here!,,,,
,,,"The race by vigour, not by vaunts is won;",,,,
,,,"So take the hindmost, Hell.’ -- He said, and run.",,,,
,,,,,,,
"Curll, Edmund",,"II, Note to 58","Curll’s panegyric; mentions Curll’s publication of Court Poems by Lady Mary Wortley Montagu, which he claimed were by Pope, Gay, or “a lady of quality”; the emetic episode",Lady Mary Wortley Montagu,Akin to,,
,,,,,,,
"Curll, Edmund",,"II, Note to 58",,Alexander Pope,Attacked,,
"Curll, Edmund",,"II, Note to 60",Lat. quote alluding to Curll’s punishment by schoolboys for printing Latin with mistakes in it,,,,
"Curll, Edmund",,"II, 69-74","Full in the middle way there stood a lake,",Elizabeth Thomas,Akin to,,
,,,Which Curll’s Corinna chanc’d that morn to make:,,,,
,,,"(Such was her wond, at early dawn to drop",,,,
,,,"Her evening cates before his neghbour’s shop,)",,,,
,,,"Here fortun’d Curl to slide; loud shout the band,",,,,
,,,And Bernar! Bernard! Rings thro’ all the Strand.,,,,
"Curll, Edmund",,"II, 69-74",,Bernard Lintot,Akin to,,
,,,,,,,
