 Character,Address,Reference,Person referred to,Relation,AKA
,,,,,
"Dennis, John",Prefatory material,"Dennis, Remarks on Pr. Arthur by R. Blackmore","Blackmore, Richard",Akin to,Furius
,,,,,“a dry old gentleman”
"Dennis, John",Prefatory material,"Dennis, Character of Mr. P. 1716","Pope, Alexander",Attacked,
,,,,,
"Dennis, John",Notes to Testimonies,Dennis on Pope’s education in Reflections on the Essay on Criticism,"Pope, Alexander",Attacked,
,,,,,
"Dennis, John",Notes to Testimonies,"Dennis the author of a libel against Pope (Character of Mr. P and his Writings, 1729), according to Curl in the Curliad","Pope, Alexander",Attacked,
,,,,,
"Dennis, John",Notes to Testimonies,,"Curll, Edmund",Akin to ,
,,,,,
"Dennis, John",Testimonies,Dennis on Essay on Criticism,"Pope, Alexander",Attacked,
,,,,,
"Dennis, John",Notes to Testimonies,"Reflections Critical and Satyrical on a Rhapsody called An Essay on Criticism, printed for Lintot","Pope, Alexander",Attacked,
,,,,,
"Dennis, John",Notes to Testimonies,,"Lintot, Bernard",Akin to,
,,,,,
"Dennis, John",Testimonies,Dennis on Windsor Forest,"Pope, Alexander",Attacked,
,,,,,
"Dennis, John",Notes to Testimonies,"Letter to BB at the end of Remarks on Pope’s Homer, 1717",B.B.?,Akin to,
,,,,,
"Dennis, John",Testimonies,"On Pope’s Character, in Reflections on the Essay of Criticism and Character of Mr. Pope and his Writing (1716) and in his anonymous A True Character of Mr. Pope (1716)","Pope, Alexander ",Attacked,
,,,,,
"Dennis, John",Testimonies,Mr. Dennis and Gildon’s contradictory statements in True Character of Pope,"Gildon, Charles",Akin to,
,,,,,
"Dennis, John",Testimonies,,"Pope, Alexander",Attacked,
"Dennis, John",Testimonies,Pope compares Cibber to Dennis,"Cibber, Colley",Akin to,
,,,,,
"Dennis, John",Testimonies,,"Pope, Alexander ",Attacked,
"Dennis, John",Testimonies,Dennis and Gildon on Pope’s rhymes in A True Character of Mr. Pope (1716),"Gildon, Charles",Akin to,
,,,,,
"Dennis, John",Testimonies,,"Pope, Alexander",Attacked,
"Dennis, John",Note to Testimonies,Dennis proves he did not work with Gildon on A True Character of Mr. Pope,"Gildon, Charles",Akin to,
,,,,,
"Dennis, John",Note to Testimonies,,"Pope, Alexander ",Attacked,
"Dennis, John",Note to Testimonies,Remarks on the Dunciad,"Pope, Alexander ",Attacked,
,,,,,
"Dennis, John",Testimonies ,Dennis on Pope’s “depravity of genius and taste” in Essay on Criticism,"Pope, Alexander ",Attacked,
,,,,,
"Dennis, John",Note to Testimonies,Dennis’s Pref. to his Reflections on the Essay on Criticism,"Pope, Alexander ",Attacked,
