person,referent,relation,rel,log_rel
Colley Cibber,Alexander Pope,Akin to,1,1
Colley Cibber,Alexander Pope,Attacked,9,4
Colley Cibber,Barton Booth,Akin to,1,1
Colley Cibber,Caius Gabriel Cibber,Akin to,2,2
Colley Cibber,Camillo Querno,Akin to,2,2
Colley Cibber,Cardell Goodman,Akin to,1,1
Colley Cibber,Charles Fleetwood,Akin to,1,1
Colley Cibber,Dulness,Akin to,9,4
Colley Cibber,Edmund Curll,Akin to,2,2
Colley Cibber,Elkanah Settle,Akin to,3,3
Colley Cibber,Francis Atterbury,Dissimilar,1,1
Colley Cibber,George Etherege,Akin to,1,1
Colley Cibber,George I,Akin to,1,1
Colley Cibber,George II,Akin to,3,3
Colley Cibber,Henry Janssen,Akin to,1,1
Colley Cibber,Isaac Newton,Dissimilar,1,1
Colley Cibber,Issac Barrow,Dissimilar,1,1
Colley Cibber,John Banks,Akin to,1,1
Colley Cibber,John Dennis,Akin to,2,2
Colley Cibber,John Dryden,Attacked,1,1
Colley Cibber,John Dryden,Dissimilar,1,1
Colley Cibber,John Fletcher,Akin to,1,1
Colley Cibber,John Garth,Dissimilar,1,1
Colley Cibber,John Hervey,Akin to,1,1
Colley Cibber,John Locke,Dissimilar,1,1
Colley Cibber,John Ozell,Akin to,2,2
Colley Cibber,Joseph Addison,Dissimilar,1,1
Colley Cibber,Laurence Eusden,Akin to,3,3
Colley Cibber,Lewis Theobald,Akin to,3,3
Colley Cibber,Lord Bishop of London,Akin to,1,1
Colley Cibber,Martinus Scriblerus,Akin to,2,2
Colley Cibber,Matthew Prior,Attacked,1,1
Colley Cibber,Philip Dormer Stanhope,Akin to,1,1
Colley Cibber,Philip Dormer Stanhope,Attacked,1,1
Colley Cibber,Richard Bentley,Akin to,2,2
Colley Cibber,Robert Walpole,Akin to,2,2
Colley Cibber,Stephen Duck,Akin to,1,1
Colley Cibber,Thomas Archer,Akin to,1,1
Colley Cibber,Thomas Cooke,Akin to,1,1
Colley Cibber,William Broome,Akin to,1,1
Colley Cibber,William Congreve,Dissimilar,1,1
Colley Cibber,William Temple,Akin to,1,1
Edmund Curll,Abel Evans,Dissimilar,1,1
Edmund Curll,Abel Roper,Akin to,3,3
Edmund Curll,Alexander Pope,Attacked,11,4
Edmund Curll,Alexander Pope,Dissimilar,1,1
Edmund Curll,Ambrose Phillips,Akin to,1,1
Edmund Curll,Bernard Lintot,Akin to,5,3
Edmund Curll,Besaleel Morris,Akin to,3,3
Edmund Curll,Charles Gildon,Akin to,1,1
Edmund Curll,Cloacina,Akin to,1,1
Edmund Curll,Colley Cibber,Akin to,1,1
Edmund Curll,Colley Cibber,Dissimilar,1,1
Edmund Curll,Daniel Defoe,Akin to,1,1
Edmund Curll,Edward Ward,Akin to,1,1
Edmund Curll,Edward Ward,Defended,1,1
Edmund Curll,Edward Young,Dissimilar,1,1
Edmund Curll,Eliza Haywood,Akin to,2,2
Edmund Curll,Elizabeth Thomas,Akin to,3,3
Edmund Curll,George Duckett,Akin to,1,1
Edmund Curll,George Ridpath,Akin to,2,2
Edmund Curll,Giles Jacob,Akin to,1,1
Edmund Curll,Henry Cromwell,Attacked,1,1
Edmund Curll,Henry Curll,Akin to,1,1
Edmund Curll,Isaac Barrow,Dissimilar,1,1
Edmund Curll,Isaac Newton,Dissimilar,1,1
Edmund Curll,James Moore Smythe,Akin to,1,1
Edmund Curll,James-Moore Smith,Akin to,1,1
Edmund Curll,John Arbuthnot,Attacked,1,1
Edmund Curll,John Atterbury,Dissimilar,1,1
Edmund Curll,John Dennis,Akin to,8,4
Edmund Curll,John Dryden,Dissimilar,1,1
Edmund Curll,John Dunton,Akin to,2,2
Edmund Curll,John Durant Breval,Akin to,3,3
Edmund Curll,John Gay,Attacked,4,3
Edmund Curll,John Henley,Akin to,1,1
Edmund Curll,John Locke,Dissimilar,1,1
Edmund Curll,John Oldmixon,Akin to,2,2
Edmund Curll,John Tutchin,Akin to,2,2
Edmund Curll,Jonathan Swift,Attacked,2,2
Edmund Curll,Jonathan Swift,Dissimilar,2,2
Edmund Curll,Joseph Addison,Attacked,2,2
